id,modified_comment,Cause Span
724881472,"I did do this at one point but I was concerned that it is a bit hard to work out the cases for the `if` to succeed, since it relies on `undefined !== 0` in the case where `associatedMessage` is not defined. So I went with the more explicit notation since I found it easier to grok the two cases.
? Do you not have this problem Perhaps it is just me?",Do you not have this problem
918672907,"I don’t understand, how does it make the code less portable? I use this function to evaluate strings of code and to see how they look when transpiled, and I want the actual result that TS would produce if it was a regular file. Is there a better way to do this?","I don’t understand, how does it make the code less portable?"
560552229,"Oh, github didn't load the previous 3 comments before I commented. I guess the point is that I think the comment is not confusing, even if the code itself is.","the comment is not confusing, even if the code itself is."
303461904,"Makes sense, but in this case I don't even need DateTimeFormat and can save the initialization cost...",I don't even need DateTimeFormat
948437097,"[USER] The link you provided is not the issue, i fixed it by myself.
Firebase was the problem here. In older versions i had Application and FirebaseCloudMessagingPluginRegistrant.
I had to remove these files completely since they are no longer needed in new version.
[TRIPLE QUOTE].
[TRIPLE QUOTE].",Firebase was the problem here.
719854095,"I don't fully understand the value of this, especially if it means adding unused getters to the code. The documentation is: [URL]
[BLOCK QUOTE].
With the example:
[TRIPLE QUOTE].
In this example, the only way of ""observing the property's value"" is by accessing the value of `r`. It seems like a setter that really just assigns a value to a public property is the anti-pattern here.",I don't fully understand the value of this
645799029,That is an unfortunate how onSelectionHandleTapped behave differently based on the implementation of TextSelectionControls. I am ok with this approach if we can deprecate the onSelectionHandleTapped at some point....,That is an unfortunate how onSelectionHandleTapped behave differently
720577815,"What I mean to say is that this assertion that you are adding in this PR catches the error you intend to catch, but it is also catching other cases that are not valid to assert.
While I cannot share internal code, it stands to reason that if the internal code were invalid, it would crash with the same bad error message you are trying to fix here. I am going to close this PR as the internal test proves that it asserts when it should not. Unfortunately, I do not have a simple reproduction of this case.
I appreciate your work on this, it just does not work in the way that you expect.","Unfortunately, I do not have a simple reproduction"
707483092,"I might be missing something, but I don't see the benefit of moving certain types of code-snippets outside the Markdown.
In fact, there is quite an overhead for authors (whomever that might be: the docs team, SWEs and most importantly community contributors). FWIW, our early choice to move the TypeScript and HTML code-snippets outside the Markdown was only made because we believe the benefits of being able to validate the code outweigh the cost of not having the code side-by-side with the rest of the docs content (where it would be much easier to keep in-sync).
So, I strongly believe that there are certain code types (i.e. those we cannot validate) that would be better off being left in the Markdown.
But, since this is related to docs authoring, I am happy to leave it up to the docs team :smiley:","I might be missing something, but I don't see the benefit of moving certain types of code-snippets outside the Markdown.
"
713475952,"To be honest, I'm very new to the team and I don't know if there's a methodical way to figure those things out. I don't think there is, sadly. Some things in the code have very descriptive names or comments, but others sometimes don't, as is the case of `assumeTrue`. I'd say if you can't find an explanation by looking at the code, or in the TypeScript wiki, or in [URL] your best bet is to ask someone from the team and we'll be able to help.
@sandersn and [USER] might have more tips about where/who to ask those kinds of question.
About `assumeTrue`'s meaning: to give you an example, I figured this one out by looking at the code in `narrowTypeByEquality` and seeing that `assumeTrue` had its boolean value flipped if the condition we had was an inequality (e.g. `a !== b`).
**tl;dr** in `narrowTypeByEquality(type, operator, value, assumeTrue)`, if `assumeTrue` is true we should assume `value` has type `type`. Otherwise, we should assume `value` does *not* have type `type`.
To give you an example:
[TRIPLE QUOTE].","I don't think there is, sadly"
527391825,"Oh, I forgot to revert that. Sorry. Fixed!",I forgot to revert that. Sorry.
690000276,"Yeah, that's sounds right. I image we probably shouldn't ignore casts.",that's sounds right
687724118,[USER] right! I just pushed the updated commit,I just pushed the updated commit
658744651,Looks good! I was unsure how to implement it cleanly in my PR so I just force committed the changes. To my PR Branch 🤞,Looks good
732293262,"Sorry, I'm not quite sure I'm following: you want to make sure that if `errorsAreFatal` is set that `hadWarningOutput` is false in the case where we're going to exit cleanly? So, in other words, making sure that there were no warnings if there were no fatal errors?
I was intending for it to be the case that if `errorsAreFatal` is set, but not `warningsAreFatal` that only errors cause failure exit, and if `warningsAreFatal` is set, that _either_ warnings or errors would cause a failure exit (basically that fatal warnings implies fatal errors too). Does that sound right to you?","Sorry, I'm not quite sure I'm following"
659305436,I think that this might not work if the array only has one element. Not sure if that can actually happen at runtime.,.might not work
661682280,Ah I see. But I'm not sure if there's a good way to check if a `FocusNode` is already `dispose`d. It seems fine to keep a `dispose`d `FocusNode` around? In `_applyFocusChange` if either of these 2 nodes are detached from the tree then we throw the entry away anyways.,not sure if there's a good way to check
706423410,"I see that there are some asserts in here, but not sure if they protect every value test or not.",not sure if they protect every value test or not
881791172,"Agreed - if this is needed in a particular application, custom structural directives are a better solution. Attempting to solve this problem generally would be a major undertaking.",Agreed - if this is needed in a particular application
161375219,"I didn't see the point in burying this function in the class, so it's outside. I'm not sure if this matches the code styles well.",I'm not sure if this matches the code styles well.
