id,modified_comment,Cause Span,GPT-4,ChatGPT,Flan-Alpaca-XL,,best_matches,worst_matches,Emotion 2,ChatGPT,GPT-4,flan-alpaca
89186541,It seems like you don't use this require anywhere?,seems like you don't use this require anywhere?,It seems like you don't use this require anywhere?,"Span: ""It seems like you don't use this require anywhere?""","""It seems like you don't use this require anywhere?""",187,1,,Confusion,Annoyance,Curiosity,Curiosity
94004246,These conditions are weird. A test should have an expected behavior and not two possible.,These conditions are weird.,These conditions are weird.,These conditions are weird.,These conditions are weird.,319,1,,Disapproval,Frustration,Confusion,Confused
94108066,"No probs, thank you for double checking.","No probs, thank you for double checking.",thank you for double checking.,thank you for double checking,"No probs, thank you for double checking.",216,1,,Affection,Gratitude,Relief,Approval
94314710,Thanks for the feedback. Done,Thanks for the feedback.,Thanks for the feedback.,Thanks for the feedback.,"""Thanks for the feedback""",295,1,,Affection,Relief,Gratitude,Approval
94482514,I'll wait on this one before merging. Nice work overall.,Nice work overall.,Nice work overall.,Nice work overall.,"""Nice work overall.""",214,1,,Affection,Contentment,Approval,Admiration
95046608,Heh didn't even notice this in the src before that's awesome.,even notice this in the src before that's awesome,Heh didn't even notice this in the src before that's awesome.,didn't even notice this in the src before,"""didn't even notice this in the src before""",82,1,,Cheerfulness,Surprise,Amusement,Excitement.
101964698,uhh good catch. and yes should have further cleaned up.,uhh good catch,good catch.,good catch.,"""good catch""",344,1,,Approval,Approval,Relief,Approval
132652883,That's a great idea. A Tombstone object,That's a great idea,That's a great idea.,That's a great idea.,That's a great idea.,307,1,,Affection,Satisfaction,Admiration,Excitement.
152751925,should not be here,should not be here,should not be here,should not be here.,"""should not be here""",272,1,,Disapproval,Disapproval,Disapproval,Disapproval
159144172,This one was really hard to debug...,This one was really hard to debug...,This one was really hard to debug...,This one was really hard to debug...,"""This one was really hard to debug.""",261,1,,Nervousness,Frustration,Frustration,Frustration
159985236,Right. This is embarrassing...,This is embarrassing...,This is embarrassing...,This is embarrassing...,"""Right. This is embarrassing.""",266,1,,Neglect,Embarrassment,Embarrassment,Embarrassment
161802761,"neat, thanks for the tip.",thanks for the tip.,thanks for the tip.,"neat, thanks for the tip.","""neat, thanks for the tip.""",213,1,,Affection,Contentment,Appreciation,Approval
164664288,The `sourceUrlComment` is not part of the footer. It doesn't make sense to move it into this module.,not part of the footer. It doesn't make sense,It doesn't make sense to move it into this module.,It doesn't make sense to move it into this module.,"The ""sourceUrlComment"" is not part of the ""footer"".",315,1,,Disapproval,Disapproval,Disapproval,Frustration
166580511,"Oh, you didn't add composes and values. Well, I like it even more. Those features are hard to maintain.",I like it even more,"Well, I like it even more.","the span ""Well I like it even more.""","""Well, I like it even more.""",245,1,,Affection,Appreciation,Approval,Optimism
170027075,"returning a value doesn't make sense here. It's an async function.
Maybe you want to wrap this in a Promise:",returning a value doesn't make sense here. It's an async function.,returning a value doesn't make sense here. It's an async function.,returning a value doesn't make sense here. It's an async function.,"""returning a value doesn't make sense here""",263,1,,Disapproval,Annoyance,Confusion,Frustration
171155778,Not sure I agree with this particular change. It breaks the grammar of the sentence.,Not sure I agree with this particular change.,Not sure I agree with this particular change.,Not sure I agree with this particular change.,Not sure I agree with this particular change. it breaks the grammar of the sentence.,222,1,,Disapproval,Disapproval,Disapproval,Disapproval
173051390,You should probably delete this..,probably delete this..,You should probably delete this..,You should probably delete this.,"""You should probably delete this...""",391,1,,Nervousness,Annoyance,Disapproval,Frustration
175305372,Oops my bad,Oops my bad,Oops my bad,Oops my bad.,"""Oops my bad""",251,1,,Neglect,Embarrassment,Embarrassment,Regret
177721513,It's merged. :tada:,It's merged. :tada:,It's merged. :tada:,It's merged.,"""It's merged.""",191,1,,Cheerfulness,Relief,Joy,Joy.
184581200,"I agree we can discuss there. If we need to change, I'll go in and remove where needed.",I agree we can discuss there.,I agree we can discuss there.,I agree we can discuss there.,"""I agree we can discuss there.""",87,1,,Approval,Approval,Agreement,Optimism
185240719,Lmaooooo nanifest seems cooler though 😂,Lmaooooo nanifest seems cooler though 😂,Lmaooooo nanifest seems cooler though 😂,Lmaooooo nanifest seems cooler though 😂.,"""Lmaooooo nanifest seems cooler though """,196,1,,Cheerfulness,Amusement,Amusement,Excitement
186009736,This is wrong for `index === 0`,this is wrong,This is wrong for `index === 0`.,This is wrong for `index === 0`.,This is wrong for index === 0.,334,1,,Cheerfulness,Irritation,Disapproval,Frustration
