Comment_ID,User,Issue_ID,Date,Comment,Emotion Causes
60172,NoteDancing,1490460205,2023-03-30 15:00:20,@synandi Tensorflow 2.12.0 Can't use GPU on Windows 11?,Can't use GPU on Windows 11?
60174,Thf772,1490394682,2023-03-30 14:20:54,"Sorry, even with the addition of `prefetch` I am still seeing this log message.",I am still seeing this log message.
59984,elfringham,1490303833,2023-03-30 13:26:47,@zyxkad Your problem is not related to the one that this issue refers to. I think you should open a new issue to cover your Mac specific build problem.,"""Your problem is not related to the one that this issue refers to."""
59985,setter43,1490009121,2023-03-30 9:45:41,"I am using Teachable Machine for my audio model. I don't have the option to export in .h5 for audio. Just .js or .tflite. tflite would be compatible with the google coral I am working with. But the sample app Git link just leads to an error and it's hard to find an example where I can take my AI model and just plug and play.
![image](https://user-images.githubusercontent.com/49942725/228797393-af98c7b0-2e74-4cbd-8ec5-18feb5cff7db.png)",I am using Teachable Machine for my audio model. I don't have the option to export in .h5 for audio. Just .js or .tflite. tflite would be compatible with the google coral I am working with. But the sample app Git link just leads to an error and it's hard to find an example where I can take my AI model and just plug and play.
60101,cfields5,1489541438,2023-03-30 1:08:37,@tiruk007 Having the same issue. CUDA 11.8 and cuDNN 8.6,Having the same issue.
60148,trickiwoo,1488863747,2023-03-29 15:40:41,"Thanks @pat749 and @Ruparani777 for pointing out the issue! I checked and found that `enable_v2_behavior` is not needed to trigger this bug, here is the minimized code that triggers Segmentation fault:
```
import tensorflow as tf
@tf.function
def foo():
ta = tf.TensorArray(dtype=tf.int32, size=0, dynamic_size=True)
ta.write(0, tf.constant(0))
return ta.gather([0])
foo()
```
Output:
```
Segmentation fault (core dumped)
```",Segmentation fault (core dumped)
60124,SuryanarayanaY,1488462459,2023-03-29 11:55:07,"The check fail is happening due to different ` input_min=-1`, `input_max=[-1,1]`. As per [API](https://www.tensorflow.org/api_docs/python/tf/raw_ops/QuantizeAndDequantizeV4) both `input_min` and `input_max` should be of same type and size if `range_given=True`.
Please refer to attached [gist](https://colab.research.google.com/gist/SuryanarayanaY/f1ccb35630bfa6b9109bff3071da2815/untitled173.ipynb).","The check fail is happening due to different  input_min=-1,  input_max=[-1,1]. As per [API](https://www.tensorflow.org/api_docs/python/tf/raw_ops/QuantizeAndDequantizeV4) both  input_min and  input_max should be of same type and size if  range_given=True. Please refer to attached [gist](https://colab.research."
60106,fedezocco,1488269198,2023-03-29 9:37:46,"I see. So I am executing 1 and 2 instead of the pip command I mentioned. Then, I proceed with the Segmentation tutorial as usual. Now I get the error below
![Capture](https://user-images.githubusercontent.com/62107909/228492552-77b969f4-754c-41ba-abcc-5d1dc5616122.PNG)","I see. So I am executing 1 and 2 instead of the pip command I mentioned. Then, I proceed with the Segmentation tutorial as usual. Now I get the error below ![Capture](https://user-images.githubusercontent.com/62107909/228492552-77b969f4-754c-41ba-abcc-5d1dc5616122.PNG)"
41898,axeltidemann,1488159628,2023-03-29 8:30:36,@nikitamaia could you please re-open the issue?,Could you please re-open the issue?
59642,reedwm,1487781445,2023-03-29 0:33:58,"@qlzh727, the ClipByValue gradient is commented out and there is a TODO assigned to you from 2018: https://cs.opensource.google/tensorflow/tensorflow/+/master:tensorflow/python/ops/clip_ops.py;l=126;drc=ec69e86e01436b58d53f49b12782a0452bd26c8c. Do you remember why it's commented out?","""The ClipByValue gradient is commented out and there is a TODO assigned to you from 2018"""
60106,Shreyas-SAS,1487638835,2023-03-28 21:50:30,"Hey, @fedezocco @alecamacho @18mdemark, I guess it is a problem with pip installing git.
Please try these commands in order once:
1. `!apt remove git -y` - remove any degraded git module
2. `!apt-get install git -y && git clone https://github.com/tensorflow/examples.git` - Install git first, then clone.
Meanwhile, I will look at possible problems and create a PR if I am able to solve it.",I guess it is a problem with pip installing git.
60118,gaurav00700,1487621968,2023-03-28 21:32:19,"Hi, I also need higher version of Protobuf for onnx package. But tensorflow-macos requires lower version of protobuf. How to deal with such problem. I want to install tensorflow and onnx in same python environment.",I also need higher version of Protobuf for onnx package. But tensorflow-macos requires lower version of protobuf. How to deal with such problem. I want to install tensorflow and onnx in same python environment.
60106,fedezocco,1487595488,2023-03-28 21:09:53,"Good evening,
Since yesterday I am having the same issue when executing the first cell of the TensorFlow Segmentation tutorial: https://www.tensorflow.org/tutorials/images/segmentation. No issues before yesterday. Restarting Colab does not solve the issue for me.
Regards,
Federico","""Having the same issue"""
60109,sachinprasadhs,1487445646,2023-03-28 18:54:51,"@TortoiseHam , Tested build configuration for Tensorflow 2.12 is cuDNN 8.6 and CUDA 11.8. Make sure while installing torch also this should not conflict.
Also. could you please do one more check by creating two different environments and installing `torch` and `Tensorflow` separately and check the internal package dependency versions using `pip list`.
My hunch is that it might be because of version conflicts on package dependencies.","""Version conflicts on package dependencies"""
59984,elfringham,1486903787,2023-03-28 13:36:35,@sdeoras Actually your build error looks more like there was a stale object in the bazel cache that was not rebuilt when it should have been. If this still needs resolving please try again but run 'bazel clean --expunge' first. If you can try 2.11.1 or even better 2.12.0 then that would be good.,stale object in the bazel cache that was not rebuilt when it should have been.
11085,t-kalinowski,1486821988,2023-03-28 12:45:10,I don't think this should be closed until `pip install tensorflow` does the right thing. Not everyone wants to or can use conda.,I don't think this should be closed until pip install tensorflow does the right thing.
60139,AyanmoI,1486783915,2023-03-28 12:20:31,"> I attached comments to the places I had to adjust because of ClangTidy and Linter. It might be easier for you if you revert the revert PR, then you have all those fixes already and can add additional fixes for the build time issues on top.
The reopened PR seemed to have just the last commit and I don't think I can revert the reverted PR. Are u able to do that on your end? Otherwise, I'll manually make the changes.",I attached comments to the places I had to adjust because of ClangTidy and Linter.
