Comment,Cause,Cluster
@sdeoras Your original issue looks like you have a bad version of tensorflow_io_gcs_filesystem installed. For building TensorFlow 2.11.x please use tensorflow_io_gcs_filesystem==0.31.0.,"""Your original issue looks like you have a bad version of tensorflow_io_gcs_filesystem installed.""",1
"Hi guanyu, this seems a tooling issue on tensorflow side. Could you help file a separate issue for this?","""This seems a tooling issue on tensorflow side.""",1
@SuryanarayanaY You are missing an install of keras and tensorflow-estimator. Or alternatively keras-nightly and tf-estimator-nightly.,"""You are missing an install of keras and tensorflow-estimator. Or alternatively keras-nightly and tf-estimator-nightly.""",1
"Hi @SajjadAemmi ,
It seems the version compatibility between tensorflow and tensorflow-io causing the problem.
Can you try installing tensorflow-io alongwith its compatible tensorflow using the below code.
`!pip install tensorflow-io[tensorflow]`
For me the reported Import error gone with above installation code.Please refer to attached [gist](https://colab.research.google.com/gist/SuryanarayanaY/ad1c1c1af38ca6c5a6a80805751426cb/58762_r2.ipynb).","""It seems the version compatibility between tensorflow and tensorflow-io causing the problem.""",1
"I see a failure on tensorflow/compiler/mlir/tosa/tests:tfl-to-tosa-pipeline.mlir.test , could you check locally?","I see a failure on tensorflow/compiler/mlir/tosa/tests:tfl-to-tosa-pipeline.mlir.test , could you check locally?",1
"@sachinprasadhs,
I was able to reproduce the issue on tensorflow [v2.11](https://colab.research.google.com/gist/tilakrayal/4212b2c3d4ede31976079649f401eef1/untitled841_gpu.ipynb) and nightly and the error was Python process crashing. Kindly find the gist of it [here](https://colab.research.google.com/gist/tilakrayal/8f3c41bc045d1a3d65f5f692b764f9ca/untitled914.ipynb).",I was able to reproduce the issue on tensorflow [v2.11](https://colab.research.google.com/gist/tilakrayal/4212b2c3d4ede31976079649f401eef1/untitled841_gpu.ipynb) and nightly and the error was Python process crashing.,1
"@sushreebarsa, I was able to replicate the issue in [TF v2.10](https://colab.sandbox.google.com/gist/synandi/c853a7c8d51e9412152c988f70c3475a/59343_2-10.ipynb) and [TF v2.11](https://colab.sandbox.google.com/gist/synandi/eaf3157cad81ea56a6c7751492618aca/59343_2-11.ipynb) in colab. Could you please check this issue?",I was able to replicate the issue in [TF v2.10](https://colab.sandbox.google.com/gist/synandi/c853a7c8d51e9412152c988f70c3475a/59343_2-10.ipynb) and [TF v2.11](https://colab.sandbox.google.com/gist/synandi/eaf3157cad81ea56a6c7751,1
"I still see below issue with tf-nighty
0x00007fffcb614553 in mlir::quant::QuantizedType::getExpressedType() const () from ~whisper-tflite/venv/lib/python3.10/site-packages/tensorflow/python/_pywrap_tensorflow_internal.so",I still see below issue with tf-nighty 0x00007fffcb614553 in mlir::quant::QuantizedType::getExpressedType() const () from whisper-tflite/venv/lib/python3.10/site-packages/tensorflow/python/_pywrap_tensorflow_internal.so.,1
Can someone from Google take this over? I tried several test cases but non of them can capture this bug in tensorflow.,I tried several test cases but non of them can capture this bug in tensorflow.,1
"@apivovarov I tried to replicate the issue on colab using tf-nightly, and faced `RuntimeError: Tensorflow has not been built with TensorRT support`. Please find the gist [here](https://colab.research.google.com/gist/sushreebarsa/c6be14b1375c204f48de99e30c521d04/58248.ipynb) and confirm the same?
Thank you!","""RuntimeError: Tensorflow has not been built with TensorRT support""",1
