Issue_ID,User,Comment_ID,Date,Comment,Emotion Causes,UserType
59984,elfringham,1490303833,2023-03-30 13:26:47,@zyxkad Your problem is not related to the one that this issue refers to. I think you should open a new issue to cover your Mac specific build problem.,"""Your problem is not related to the one that this issue refers to.""",CONTRIBUTOR
60124,SuryanarayanaY,1488462459,2023-03-29 11:55:07,"The check fail is happening due to different ` input_min=-1`, `input_max=[-1,1]`. As per [API](https://www.tensorflow.org/api_docs/python/tf/raw_ops/QuantizeAndDequantizeV4) both `input_min` and `input_max` should be of same type and size if `range_given=True`.
Please refer to attached [gist](https://colab.research.google.com/gist/SuryanarayanaY/f1ccb35630bfa6b9109bff3071da2815/untitled173.ipynb).","The check fail is happening due to different  input_min=-1,  input_max=[-1,1]. As per [API](https://www.tensorflow.org/api_docs/python/tf/raw_ops/QuantizeAndDequantizeV4) both  input_min and  input_max should be of same type and size if  range_given=True. Please refer to attached [gist](https://colab.research.",COLLABORATOR
59642,reedwm,1487781445,2023-03-29 0:33:58,"@qlzh727, the ClipByValue gradient is commented out and there is a TODO assigned to you from 2018: https://cs.opensource.google/tensorflow/tensorflow/+/master:tensorflow/python/ops/clip_ops.py;l=126;drc=ec69e86e01436b58d53f49b12782a0452bd26c8c. Do you remember why it's commented out?","""The ClipByValue gradient is commented out and there is a TODO assigned to you from 2018""",MEMBER
60109,sachinprasadhs,1487445646,2023-03-28 18:54:51,"@TortoiseHam , Tested build configuration for Tensorflow 2.12 is cuDNN 8.6 and CUDA 11.8. Make sure while installing torch also this should not conflict.
Also. could you please do one more check by creating two different environments and installing `torch` and `Tensorflow` separately and check the internal package dependency versions using `pip list`.
My hunch is that it might be because of version conflicts on package dependencies.","""Version conflicts on package dependencies""",CONTRIBUTOR
59984,elfringham,1486903787,2023-03-28 13:36:35,@sdeoras Actually your build error looks more like there was a stale object in the bazel cache that was not rebuilt when it should have been. If this still needs resolving please try again but run 'bazel clean --expunge' first. If you can try 2.11.1 or even better 2.12.0 then that would be good.,stale object in the bazel cache that was not rebuilt when it should have been.,CONTRIBUTOR
60139,AyanmoI,1486783915,2023-03-28 12:20:31,"> I attached comments to the places I had to adjust because of ClangTidy and Linter. It might be easier for you if you revert the revert PR, then you have all those fixes already and can add additional fixes for the build time issues on top.
The reopened PR seemed to have just the last commit and I don't think I can revert the reverted PR. Are u able to do that on your end? Otherwise, I'll manually make the changes.",I attached comments to the places I had to adjust because of ClangTidy and Linter.,CONTRIBUTOR
59984,elfringham,1486727281,2023-03-28 11:53:53,"@tiruk007 Sorry, I see that the r2.11 branch had a temporary build failure for a while which is what caused the error you found. This build error was not present in 2.11.0 nor is it present in 2.11.1 but was introduced and then fixed in between those two releases.","""This build error was not present in 2.11.0 nor is it present in 2.11.1 but was introduced and then fixed in between those two releases.""",CONTRIBUTOR
59984,elfringham,1486521062,2023-03-28 9:30:37,@tiruk007 _ComputeOutputShape is not in the 2.11.x source code so I think maybe you were not building 2.11?,_ComputeOutputShape is not in the 2.11.x source code,CONTRIBUTOR
59984,elfringham,1486519501,2023-03-28 9:29:29,@sdeoras Your original issue looks like you have a bad version of tensorflow_io_gcs_filesystem installed. For building TensorFlow 2.11.x please use tensorflow_io_gcs_filesystem==0.31.0.,"""Your original issue looks like you have a bad version of tensorflow_io_gcs_filesystem installed.""",CONTRIBUTOR
60047,akuegel,1486297931,2023-03-28 6:40:14,"> Actually all of it was reverted:
https://github.com/tensorflow/tensorflow/commit/7a4d2e8b1a503a45ff86d40b0387fc832302379f
Why it doesn't show properly merged in this PR, I don't know :-(
Maybe it is easier to create a new PR?","""Why it doesn't show properly merged in this PR, I don't know""",MEMBER
